Luxilon Big Banger Alu Power 1.25,265,22,19,25,13,1,20,19,17,1.71
MSV Focus - HEX® 1.23,205,20,12,22,15,12,30,23,19,3.6
Topspin Cyber Flash 1.25,203,20,17,21,16,11,23,22,19,3.38
Signum Pro Poly Plasma 1.18,186,11,16,25,19,12,20,28,19,3
WeissCANNON Ultra Cable 1.23,174,23,11,23,10,10,35,23,19,2.33
Signum Pro Poly Plasma 1.23,172,24,11,23,15,9,18,32,19,3
Luxilon Big Banger Alu Power Rough 1.25,154,18,20,24,9,3,28,16,16,1.64
Babolat Pro Hurricane Tour 17,120,16,16,14,8,3,23,14,13,1.19
Yonex Poly Tour Pro 125 16L,120,20,14,23,18,23,18,21,19,3.11
Signum Pro Tornado 1.23,116,11,15,23,17,12,32,21,19,1.73
Babolat Pro Hurricane 17,115,21,14,15,7,1,12,17,12,1.5
WeissCANNON Scorpion 1.22,106,22,14,33,22,21,16,31,23,3.2
Head Sonic Pro 17,105,16,11,11,7,15,5,3,10,1.17
Luxilon Big Banger Ace 18,101,13,13,28,25,18,27,23,21,2.31
MSV Focus - HEX® 1.10,100,6,15,19,16,16,31,13,17,3.2
WeissCANNON Silverstring 1.20,98,23,14,26,23,24,19,30,23,3
MSV Focus - HEX® 1.18,94,14,10,22,12,7,30,18,16,3.07
Luxilon Big Banger Original 16,93,30,17,26,12,4,22,26,19,2.33
Head Rip Control 16,91,10,2,24,18,21,14,11,14,2.5
Kirschbaum Touch Turbo 1.25,91,15,22,20,21,18,19,19,19,3.38
WeissCANNON Red Ghost 1.18,86,5,20,18,21,22,22,16,18,2.17
Tecnifibre Black Code 17,86,11,12,20,14,16,26,11,16,1.83
Isospeed Professional 17,86,2,23,23,26,27,16,7,17,2.67
Yonex Poly Tour Spin 1.25,85,28,10,28,11,9,34,27,18,2.08
Topspin Cyber Blue 1.25,85,15,22,16,17,26,14,20,19,3.18
Head IntelliTour 17,84,8,18,26,25,22,18,8,18,2.17
Tecnifibre X-One Biphase 17,82,5,20,24,30,32,17,19,19,1.93
Babolat RPM Blast 17,81,10,10,19,11,6,25,4,12,1
Solinco Tour Bite 16L,78,19,11,27,15,5,31,24,19,2.25
Pro's Pro Intense Heat 1.25,77,12,19,12,11,10,14,11,13,
Tecnifibre Pro RedCode 17,77,16,11,23,16,11,15,17,16,1.91
Dyreex Black Edge 1.25,76,19,24,20,17,15,27,15,20,3.15
